#group,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string,string,string,double,dateTime:RFC3339
#default,median,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_field,_measurement,class,host,location,metric_type,model,sensorid,sensorplatform,sensortype,type,_value,_time
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.0977095,2026-07-07T14:35:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.0670015,2026-07-07T14:36:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.075012,2026-07-07T14:37:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.09771,2026-07-07T14:38:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.0589905,2026-07-07T14:39:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.726268,2026-07-07T14:25:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.724122,2026-07-07T14:26:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.729367,2026-07-07T14:27:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.72746,2026-07-07T14:28:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.725553,2026-07-07T14:29:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.726506,2026-07-07T14:30:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.728652,2026-07-07T14:31:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.728652,2026-07-07T14:32:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.72746,2026-07-07T14:33:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.730083,2026-07-07T14:34:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.726745,2026-07-07T14:35:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.727937,2026-07-07T14:36:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.726506,2026-07-07T14:37:00Z
,,6,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,mc,physical,5.727937,2026-07-07T14:38:00Z
